00000000,07.58,083.86,26.86,22,1,1,0,1
00000001,07.50,082.85,25.98,28,0,0,0,0
00000002,08.41,081.15,22.52,20,0,1,0,1
00000003,09.47,089.89,21.00,27,1,0,0,1
00000004,08.12,087.84,20.24,26,1,0,1,0
00000005,08.07,085.03,23.85,26,0,1,1,0
00000006,08.53,083.29,21.95,29,0,1,0,1
00000007,09.23,081.99,22.24,24,1,1,0,1
00000008,07.23,080.36,29.33,30,1,1,1,1
00000009,07.59,089.10,28.01,20,0,0,0,0
00000010,08.78,081.33,28.28,29,1,0,0,0
00000011,09.41,088.44,20.81,22,1,0,0,1
00000012,09.67,083.23,23.92,25,1,1,1,0
00000013,07.19,083.12,29.01,30,0,0,0,1
00000014,09.75,081.04,21.64,29,1,1,0,0
00000015,08.89,086.72,27.28,28,0,0,1,0
00000016,07.74,081.02,28.08,30,1,1,0,0
00000017,09.65,080.22,27.46,29,1,1,1,1
00000018,07.91,082.34,20.86,22,0,0,1,0
00000019,07.63,084.57,28.28,22,1,1,0,1
00000020,09.24,089.46,22.26,20,1,1,0,0
00000021,07.29,081.51,22.75,21,1,0,0,0
00000022,07.26,084.01,27.48,26,0,0,1,0
00000023,09.38,085.41,28.37,20,1,0,1,0
00000024,08.92,085.66,27.34,29,1,0,0,0
00000025,07.80,086.26,25.96,20,1,1,0,1
00000026,07.03,080.44,27.57,23,0,1,1,0
00000027,08.69,088.21,22.95,21,1,0,0,1
00000028,09.49,080.72,26.10,20,1,1,1,1
00000029,07.72,089.37,24.86,28,0,0,0,1
00000030,07.93,084.81,29.47,23,0,1,1,0
00000031,08.77,080.75,28.76,29,0,1,0,1
00000032,08.39,086.43,25.82,28,0,0,0,1
00000033,09.13,084.01,27.13,28,0,0,1,1
00000034,08.87,089.60,28.69,25,1,0,1,1
00000035,07.52,081.56,28.59,26,1,1,1,1
00000036,09.31,083.07,27.16,25,1,0,1,0
00000037,07.87,082.28,28.48,27,1,0,0,1
00000038,08.87,085.38,21.36,26,0,0,1,0
00000039,07.13,085.23,26.54,25,0,1,0,0
00000040,08.90,081.43,28.64,28,0,1,1,0
00000041,09.76,087.39,22.53,25,0,1,1,0
00000042,07.04,084.37,23.17,25,1,0,1,0
00000043,08.44,085.90,23.72,21,1,1,1,0
00000044,09.65,080.81,29.31,25,0,1,0,0
00000045,09.50,085.86,21.81,22,1,1,1,0
00000046,09.12,087.58,29.10,29,1,1,1,1
00000047,09.29,085.28,24.05,26,0,1,1,1
00000048,09.15,081.36,23.98,21,0,0,1,1
00000049,07.85,086.40,29.91,21,0,1,0,1
00000050,09.84,083.70,28.15,28,0,1,0,0
00000051,08.89,082.00,28.65,27,0,0,0,1
00000052,07.20,085.91,28.61,26,1,1,1,0
00000053,07.41,088.66,23.90,21,1,1,0,0
00000054,07.61,081.63,27.46,28,0,1,1,1
00000055,07.16,081.89,28.65,21,0,0,1,1
00000056,08.51,086.27,25.03,22,0,0,0,1
00000057,07.41,086.95,20.24,27,1,0,0,0
00000058,09.54,087.46,20.61,29,0,0,0,1
00000059,09.82,089.85,28.51,22,1,1,1,1
00000060,09.32,084.16,27.73,24,1,1,1,1
00000061,07.25,084.25,22.31,25,1,0,1,1
00000062,08.30,081.94,24.17,22,1,1,0,0
00000063,08.34,082.76,23.45,28,1,0,0,0
00000064,07.41,085.26,23.21,25,0,0,0,1
00000065,08.93,088.92,23.61,21,0,0,0,1
00000066,07.55,081.45,22.88,24,0,1,0,1
00000067,07.13,080.12,28.35,30,0,1,0,1
00000068,08.08,087.02,27.11,23,1,1,1,1
00000069,08.79,087.18,28.87,20,1,1,0,0
