00000000,08.04,086.54,22.56,30
00000001,09.44,088.83,24.19,23
00000002,08.06,088.22,22.93,24
00000003,09.13,089.87,23.66,20
00000004,08.53,087.21,22.00,27
00000005,07.84,089.33,26.63,28
00000006,08.68,086.95,27.97,27
00000007,08.92,086.02,22.78,27
00000008,08.47,087.65,28.74,23
00000009,09.92,086.09,21.36,27
00000010,09.62,089.19,29.90,22
00000011,07.06,080.87,22.64,30
00000012,09.14,087.30,29.23,23
00000013,09.07,081.61,25.25,29
00000014,08.23,080.79,25.40,23
00000015,07.06,088.95,27.33,28
00000016,09.20,088.47,22.51,27
00000017,09.18,082.26,21.18,21
00000018,08.76,086.67,24.57,28
00000019,07.09,080.30,25.31,20
00000020,08.42,082.35,28.79,23
00000021,07.89,085.01,24.94,20
00000022,09.17,084.24,26.15,22
00000023,09.39,087.15,28.65,25
00000024,08.19,080.47,24.84,22
00000025,09.67,082.71,29.17,22
00000026,08.95,083.60,24.42,29
00000027,07.21,081.81,20.76,24
00000028,09.48,089.32,24.84,21
00000029,08.04,089.60,28.45,21
00000030,07.58,084.35,23.55,24
00000031,09.41,083.21,26.32,26
00000032,09.33,087.55,25.11,30
00000033,07.10,080.27,20.60,29
00000034,08.68,088.85,22.64,30
00000035,08.31,080.59,29.36,23
00000036,09.80,089.52,20.60,27
00000037,07.56,081.07,28.28,22
00000038,09.82,082.68,28.61,20
00000039,07.84,088.00,23.09,28
00000040,09.34,081.77,21.08,26
00000041,08.56,087.00,28.11,25
00000042,08.04,089.46,21.27,23
00000043,07.86,089.95,24.36,30
00000044,09.42,086.25,25.53,23
00000045,08.37,082.94,22.75,24
00000046,09.52,087.00,20.43,23
00000047,07.13,088.50,27.86,22
00000048,08.05,083.04,27.29,27
00000049,08.29,088.68,27.55,29
00000050,07.87,088.50,26.02,28
00000051,07.37,088.90,28.60,29
00000052,08.69,080.74,27.34,28
00000053,09.74,080.94,22.33,27
00000054,09.59,085.69,29.36,26
00000055,08.68,085.04,28.06,30
00000056,08.73,087.40,22.15,29
00000057,07.57,087.06,21.80,29
00000058,07.23,083.07,26.68,27
00000059,09.57,088.61,20.63,21
00000060,09.64,082.23,24.77,23
00000061,07.80,082.79,28.61,28
00000062,07.19,081.45,21.81,24
00000063,09.38,081.49,21.92,25
00000064,08.86,082.89,26.71,23
00000065,09.18,088.25,21.78,21
00000066,07.03,088.12,22.80,30
00000067,07.32,088.30,20.27,27
00000068,08.80,080.25,20.62,26
00000069,08.36,083.21,29.21,26
00000070,09.55,089.84,27.63,24
00000071,07.19,081.78,29.31,27
00000072,08.46,089.54,25.93,24
00000073,08.36,082.36,25.22,27
00000074,07.24,085.18,28.03,30
00000075,07.91,087.20,26.68,29
00000076,09.26,085.54,24.00,25
00000077,08.54,088.82,27.32,27
00000078,07.29,082.63,21.42,21
00000079,07.93,088.36,25.65,29
00000080,08.80,081.79,22.47,27
00000081,09.77,082.31,20.04,29
00000082,07.23,081.31,20.17,26
00000083,08.30,088.93,22.49,30
00000084,08.95,088.30,22.49,22
00000085,08.72,082.04,20.45,28
00000086,08.42,088.44,20.98,20
00000087,07.92,085.16,24.99,28
00000088,08.38,089.28,23.84,21
00000089,07.85,087.28,24.62,21
00000090,07.09,086.49,26.97,28
00000091,07.19,081.99,25.76,23
00000092,08.35,081.37,27.56,24
00000093,09.36,085.08,26.19,27
00000094,07.66,084.63,20.22,22
00000095,08.84,082.54,21.35,30
00000096,09.99,089.07,27.34,28
00000097,08.88,084.79,23.49,25
00000098,08.07,089.45,23.86,24
00000099,07.39,081.32,22.47,23
00000100,09.65,088.64,23.58,27
00000101,08.36,087.04,24.87,30
00000102,09.93,082.65,20.89,27
00000103,07.72,085.45,22.69,23
00000104,09.13,083.31,29.19,30
00000105,07.24,086.98,27.73,28
00000106,09.29,081.33,23.35,27
00000107,07.79,086.25,29.78,25
00000108,09.19,080.87,21.18,22
00000109,09.55,084.57,21.52,28
00000110,07.53,084.88,27.01,30
00000111,08.02,084.60,24.64,29
00000112,07.96,088.66,28.78,21
00000113,07.08,082.96,22.57,30
00000114,07.28,086.93,22.96,30
00000115,07.09,088.70,21.76,29
00000116,09.16,088.96,20.41,28
00000117,07.98,084.65,24.17,23
00000118,07.54,080.96,21.24,29
00000119,08.76,086.01,21.80,22
00000120,07.39,080.57,21.40,30
00000121,08.90,087.30,26.87,27
00000122,07.16,087.68,20.83,24
00000123,08.62,080.13,21.47,20
00000124,09.85,080.26,29.23,23
00000125,07.63,080.48,21.72,26
00000126,08.32,081.84,28.48,21
00000127,07.50,088.90,26.38,25
00000128,08.49,087.64,25.18,24
00000129,08.59,089.09,25.22,20
00000130,07.16,086.09,24.13,29
00000131,08.39,088.49,29.58,30
00000132,07.64,087.43,29.41,30
00000133,09.36,085.99,25.01,28
